yr,mn,wk,dy,1275007,1275008,1275009,1275010,1275011,1275012,1275013,1275014,1275015,1275016,1275017,1275018,1275019,1275020,1275021,1275022,1275023,1275024,1275025,1275026,1275027,1275028
2014,MAY,22,2014-05-31,5.00,3.00,4.00,4.00,2.00,4.00,4.00,4.00,4.00,5.00,4.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,
2014,JUN,23,2014-06-01,5.00,5.00,5.00,4.00,4.50,4.50,4.50,4.50,3.50,,,,,,4.50,4.50,4.00,4.00,4.50,,,
2014,JUN,24,2014-06-08,3.83,3.80,3.40,4.00,4.13,4.38,4.50,4.38,4.38,4.25,2.50,3.50,3.25,3.50,4.50,3.25,4.00,3.25,3.75,1.00,4.00,3.50
2014,JUN,24,2014-06-10,4.00,4.00,4.00,3.00,4.00,4.00,5.00,4.00,5.00,4.00,3.00,4.00,4.00,3.00,,,,,,,5.00,4.00
2014,JUN,24,2014-06-11,3.00,2.00,2.00,1.00,1.00,4.00,4.00,4.00,4.00,,,,,,,,,,,,,
2014,JUN,24,2014-06-13,5.00,5.00,5.00,5.00,4.33,4.33,5.00,4.33,5.00,5.00,5.00,5.00,5.00,4.00,5.00,5.00,5.00,5.00,4.00,5.00,5.00,1.00
2014,JUN,25,2014-06-15,4.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,,,,,,1.00,3.00,3.00,4.00,1.00,,4.00,4.00
2014,JUN,25,2014-06-16,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,5.00,5.00,3.00,4.00,4.00,4.00,4.00,3.00,4.00,2.00,5.00,4.00
2014,JUN,25,2014-06-17,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,,5.00,5.00,5.00,5.00,,,,,,,,,
2014,JUN,25,2014-06-19,5.00,5.00,5.00,5.00,5.00,5.00,5.00,3.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,
2014,JUN,25,2014-06-20,5.00,5.00,5.00,5.00,4.00,5.00,5.00,5.00,5.00,,,,,,,,,,,,,
